flight_iata,Aircraft_Model,Aircraft_isTurboProp,Aircraft_isWidebody
JQ30,Boeing 787-8,False,True
OD175,None,None,None
MH198,Boeing 737-800 (winglets) Passenger/BBJ2,False,False
FD320,Airbus A320,False,False
3K688,Airbus A320,False,False
BI424,Boeing 787-8,False,True
TR564,Airbus A321neo,False,False
3K514,Airbus A320,False,False
TR467,Airbus A320,False,False
AK69,Airbus A320,False,False
AK5116,Airbus A320,False,False
MH610,Boeing 737-800 (winglets) Passenger/BBJ2,False,False
MH2532,Boeing 737-800 (winglets) Passenger/BBJ2,False,False
AK6128,Airbus A320,False,False
SQ7410,Boeing 777-200F Freighter,False,True
QZ509,Airbus A320,False,False
