flight_iata,Aircraft_Model,Aircraft_isTurboProp,Aircraft_isWidebody
MH788,Boeing 737-800 (winglets) Passenger/BBJ2,False,False
AK706,Airbus A320,False,False
SQ912,Airbus A350-900,False,True
TR656,Airbus A320,False,False
AK6304,Airbus A320,False,False
BI872,Airbus A320neo,False,False
BR212,Boeing 777-300ER,False,True
AK512,Airbus A320,False,False
AK6436,Airbus A320,False,False
SQ707,Boeing 787-10,False,True
SQ156,Boeing 737MAX 8 Passenger,False,False
OD540,Boeing 737MAX 8 Passenger,False,False
PG135,Airbus A319,False,False
QH326,Airbus A320,False,False
TR607,None,None,None
WE688,Airbus A320,False,False
3K247,Airbus A320,False,False
GA843,Boeing 737-800 (winglets) Passenger/BBJ2,False,False
QZ267,Airbus A320,False,False
UK112,Airbus A321neo,False,False
MH603,Boeing 737-800 (winglets) Passenger/BBJ2,False,False
PR526,Airbus A321,False,False
AK1720,Airbus A320,False,False
AK1776,Airbus A320,False,False
AK1794,Airbus A320,False,False
MH1438,Boeing 737-800 (winglets) Passenger/BBJ2,False,False
VJ802,Airbus A321,False,False
AK1310,Airbus A320,False,False
AK5172,Airbus A320,False,False
CX750,Airbus A350-1000,False,True
PG305,ATR 72,True,False
KR752,Airbus A319,False,False
AK5206,Airbus A320,False,False
TG413,Boeing 777-200 / 200ER,False,True
WE207,None,None,None
ID7154,Boeing 737-800 (winglets) Passenger/BBJ2,False,False
SQ878,Boeing 787-10,False,True
HB682,Boeing 737-800 (winglets) Passenger/BBJ2,False,False
S76382,None,None,None
WE570,Airbus A320 (sharklets),False,False
QZ659,Airbus A320,False,False
PG905,ATR 72,True,False
VN600,Airbus A321neo,False,False
VZ116,None,None,None
VJ970,Airbus A321,False,False
MH2646,Boeing 737-800 (winglets) Passenger/BBJ2,False,False
5J930,Airbus A321neo,False,False
PG1133,None,None,None
VZ940,None,None,None
AK5872,Airbus A320,False,False
TR453,Airbus A321neo,False,False
KR702,Airbus A320,False,False
VZ324,Airbus A320,False,False
MH614,Boeing 737-800 (winglets) Passenger/BBJ2,False,False
SQ107,Boeing 737-800 (winglets) Passenger/BBJ2,False,False
MH785,Boeing 737-800 (winglets) Passenger/BBJ2,False,False
SQ217,Airbus A350-900,False,True
59999999999999999593256920461697678587702506516643840,None,None,None
FD358,Airbus A320,False,False
AK571,None,None,None
MH1140,Boeing 737-800 (winglets) Passenger/BBJ2,False,False
PG947,Airbus A319,False,False
WE203,Airbus A320 (sharklets),False,False
QR943,Airbus A350-900,False,True
SQ326,Airbus A350-900,False,True
MH2520,Boeing 737-800 (winglets) Passenger/BBJ2,False,False
CI834,Airbus A350-900,False,True
FD4104,Airbus A320,False,False
TG321,Airbus A330-300,False,True
KE648,Airbus A330-300,False,True
NH842,Boeing 787-9,False,True
AK6308,Airbus A320,False,False
VZ960,Airbus A320,False,False
AK733,Airbus A320,False,False
OD802,Boeing 737MAX 8 Passenger,False,False
AK6112,Airbus A320,False,False
AK5232,Airbus A320,False,False
UO705,Airbus A320,False,False
XJ606,None,None,None
QZ503,Airbus A320,False,False
AY146,None,None,None
